duration_m,hazard,hazard_se,hazard_lower,hazard_upper
0.000,0,0,0,0
0.924,0.0074809775,0.0000994473,0.0072860609,0.0076758942
1.848,0.0012391835,0.0001500937,0.0009449999,0.0015333671
2.771,0.0003780906,0.000161415,0.0000617172,0.000694464
3.926,0.0003447775,0.0001682327,0.0000150415,0.0006745135
4.850,0.0003236154,0.0001760202,0,0.0006686149
5.774,0.000273292,0.0001842351,0,0.0006343929
6.928,0.0007117035,0.0002012905,0.0003171741,0.0011062328
7.852,0.0005071946,0.0002237639,0.0000686174,0.0009457718
8.776,0.0004481607,0.0002433073,0,0.000925043
9.931,0.0005356767,0.0002653385,0.0000156133,0.0010557401
10.855,0.0005209608,0.0002903142,0,0.0010899766
11.778,0.000534852,0.0003162981,0,0.0011547962
12.933,0.0005607535,0.0003439427,0,0.0012348811
13.857,0.0005221696,0.000371806,0,0.0012509093
14.781,0.0005870229,0.0004008041,0,0.0013725989
15.935,0.000522101,0.0004299161,0,0.0013647367
16.859,0.0003204284,0.0004523627,0,0.0012070593
17.783,0.0004476076,0.0004735954,0,0.0013758545
18.938,0.000481619,0.0004997245,0,0.0014610791
19.861,0.0002459456,0.0005205843,0,0.0012662909
20.785,0.0003602637,0.0005388337,0,0.0014163777
21.940,0.000384074,0.0005617409,0,0.0014850862
22.864,0.0004567208,0.0005884973,0,0.0016101754
23.788,0.0004416439,0.0006176232,0,0.0016521855
24.942,0.0003016293,0.0006420712,0,0.0015600888
25.866,0.0001824553,0.0006585083,0,0.0014731316
26.790,0.0002415078,0.0006734988,0,0.0015615655
27.945,0.0002581328,0.0006918067,0,0.0016140739
28.868,0.0002772705,0.0007122494,0,0.0016732794
29.792,0.0002380888,0.0007327163,0,0.0016742128
