anc_ved_afgang,hazard,hazard_se,hazard_lower,hazard_upper
0.0000,0.2714285808,0.0003594254,0.270724107,0.2721330545
1.0000,0.1233282219,0.0007341265,0.121889334,0.1247671099
2.0000,0.1523538869,0.0009026689,0.1505846559,0.1541231179
3.0000,0.1380455732,0.0011042126,0.1358813165,0.1402098299
4.0000,0.1240596938,0.0012929398,0.1215255319,0.1265938558
5.0000,0.1109630815,0.0014715986,0.1080787484,0.1138474147
6.0000,0.1046657805,0.0016406745,0.1014500584,0.1078815026
7.0000,0.0980299363,0.0018108927,0.0944805866,0.101579286
8.0000,0.0889097721,0.0019817209,0.0850255991,0.0927939451
9.0000,0.0828372685,0.0021465049,0.0786301189,0.0870444181
10.0000,0.0791765655,0.0023094512,0.0746500413,0.0837030898
10.9997,0.0757675262,0.0024751529,0.0709162265,0.0806188259
12.0000,0.0729263488,0.0026438633,0.0677443768,0.0781083208
12.9999,0.0723368525,0.0028161859,0.0668171281,0.0778565768
14.0000,0.0711549287,0.0029983558,0.0652781513,0.0770317061
15.0000,0.0681738214,0.0031896583,0.0619220911,0.0744255517
16.0000,0.0671452573,0.003384156,0.0605123116,0.073778203
16.9998,0.067389938,0.0035876809,0.0603580834,0.0744217926
18.0000,0.0662859781,0.0038056838,0.0588268378,0.0737451184
18.9999,0.0663483515,0.0040337158,0.0584422686,0.0742544344
19.9999,0.0671965443,0.0042769329,0.0588137558,0.0755793329
20.9999,0.0688580458,0.0045399422,0.0599597591,0.0777563324
21.9997,0.0714573718,0.0048281842,0.0619941307,0.0809206129
22.9999,0.0735235169,0.0051496782,0.0634301476,0.0836168861
23.9993,0.0721295323,0.0055072876,0.0613352486,0.082923816
24.9999,0.0774010399,0.0058819476,0.0658724227,0.0889296572
25.9999,0.0757485783,0.0063180403,0.0633652192,0.0881319373
26.9999,0.07873367,0.0067757844,0.0654531325,0.0920142075
27.9999,0.0809757367,0.007292003,0.0666834109,0.0952680625
28.9989,0.0878132914,0.0078662975,0.0723953482,0.1032312346
29.9993,0.0934277939,0.0085462739,0.0766770971,0.1101784907
