anc_slut_maaned,hazard,hazard_se,hazard_lower,hazard_upper
1.000,0.2358618048,0.0005842996,0.2347165777,0.2370070319
2.000,0.101068122,0.0011640439,0.098786596,0.1033496479
3.000,0.0835124763,0.0014367523,0.0806964418,0.0863285109
4.000,0.0744681735,0.0016714892,0.0711920546,0.0777442924
5.000,0.0673391557,0.001892585,0.0636296891,0.0710486222
6.000,0.0701428811,0.0021134482,0.0660005227,0.0742852395
7.000,0.0578984049,0.0023648693,0.053263261,0.0625335489
8.000,0.0422616149,0.0026023566,0.0371609959,0.0473622339
9.000,0.0353995088,0.0028018701,0.0299078435,0.0408911741
10.000,0.0341775819,0.002986885,0.0283232872,0.0400318766
11.000,0.0299749882,0.0031738367,0.0237542684,0.036195708
12.000,0.0297501361,0.0033535556,0.0231771671,0.0363231051
13.000,0.0287514458,0.0035433492,0.0218064813,0.0356964103
14.000,0.0240102369,0.0037339881,0.0166916202,0.0313288536
15.000,0.0259408929,0.0039157179,0.0182660859,0.0336156999
16.000,0.0240482252,0.0041185917,0.0159757854,0.032120665
17.000,0.0233805807,0.0043224201,0.0149086374,0.0318525241
18.000,0.0234332523,0.0045366918,0.0145413363,0.0323251683
19.000,0.0231118538,0.0047669501,0.0137686315,0.032455076
20.000,0.0229766222,0.0050123599,0.0131523967,0.0328008477
21.000,0.0221459119,0.0052736045,0.0118096471,0.0324821767
22.000,0.0246049526,0.0055588378,0.0137096304,0.0355002747
23.000,0.0209224829,0.0058807597,0.0093961939,0.0324487718
24.000,0.0193466976,0.0061904009,0.0072135119,0.0314798833
25.000,0.0216424574,0.0065238345,0.0088557418,0.034429173
26.000,0.019708728,0.0069019862,0.006180835,0.0332366209
27.000,0.0219511276,0.0072996807,0.0076437535,0.0362585018
28.000,0.0219402355,0.0077604528,0.006729748,0.037150723
28.967,0.0201224054,0.0082411363,0.0039697782,0.0362750325
30.000,0.0158526903,0.0086923174,0,0.0328896324
